entity_id,nucleus,label,sublabel,lens_id,translator_version
discogs:4486131,4486131,Same Trailer Different Park,Kacey Musgraves · 2013,discogs_v1,1.0.0
discogs:33668487,33668487,Strange Trails,Lord Huron · 2025,discogs_v1,1.0.0
discogs:2928384,2928384,Cugat's Favorites,Xavier Cugat And His Orchestra · 1955,discogs_v1,1.0.0
discogs:3626106,3626106,Hear! Hear!,The Searchers · 1964,discogs_v1,1.0.0
discogs:1535900,1535900,Mom Always Liked You Best!,Smothers Brothers · 1965,discogs_v1,1.0.0
discogs:1899931,1899931,Viva Cugat!,Xavier Cugat And His Orchestra · 1961,discogs_v1,1.0.0
discogs:3715748,3715748,In Search Of A Song,Tom T. Hall · 1971,discogs_v1,1.0.0
discogs:1664012,1664012,Bad Reputation,Thin Lizzy · 1977,discogs_v1,1.0.0
discogs:33137472,33137472,Plus One,The War and Treaty · 2025,discogs_v1,1.0.0
discogs:7221618,7221618,Pageant Material,Kacey Musgraves · 2015,discogs_v1,1.0.0
discogs:26446040,26446040,Lover's Game,The War And Treaty · 2023,discogs_v1,1.0.0
discogs:9366411,9366411,A Very Kacey Christmas,Kacey Musgraves · 2016,discogs_v1,1.0.0
discogs:34573432,34573432,The Cosmic Selector Vol. 1,Lord Huron · 2025,discogs_v1,1.0.0
discogs:13413904,13413904,Moving Pictures,Rush · 2019,discogs_v1,1.0.0
discogs:2567070,2567070,Some Like It Modern,The Three Sounds · 1963,discogs_v1,1.0.0
discogs:1597026,1597026,The Pawnbroker (Explosive Motion Picture Score),Quincy Jones And His Orchestra · 1965,discogs_v1,1.0.0
discogs:949937,949937,Injoy,Bar-Kays · 1979,discogs_v1,1.0.0
discogs:25103467,25103467,A Very She & Him Christmas,She & Him · 2022,discogs_v1,1.0.0
discogs:20152780,20152780,Saint Cloud,Waxahatchee · 2020,discogs_v1,1.0.0
discogs:8145070,8145070,Dick Hyman & Harpsichord In HI-FI,Dick Hyman · 1957,discogs_v1,1.0.0
discogs:1893908,1893908,2001: A Space Odyssey (Music From The Motion Picture Sound Track),Various · 1968,discogs_v1,1.0.0
discogs:59125,59125,Endtroducing.....,DJ Shadow · 1996,discogs_v1,1.0.0
discogs:4923105,4923105,Sketches Of Spain,Miles Davis · 2013,discogs_v1,1.0.0
discogs:9541042,9541042,My Funny Valentine - Miles Davis In Concert,Miles Davis · 2016,discogs_v1,1.0.0
discogs:13138163,13138163,Mint,Alice Merton · 2019,discogs_v1,1.0.0
discogs:2300054,2300054,Kristofferson,Kris Kristofferson · 1970,discogs_v1,1.0.0
discogs:389132,389132,Black Forest Explosion!,Horst Jankowski · 1997,discogs_v1,1.0.0
discogs:2180184,2180184,Marvin Gaye Live At The London Palladium,Marvin Gaye · 1977,discogs_v1,1.0.0
discogs:2085833,2085833,25 #1 Hits From 25 Years,Various · 1983,discogs_v1,1.0.0
discogs:826477,826477,The Supremes At The Copa,The Supremes · 1965,discogs_v1,1.0.0
discogs:5098930,5098930,The Original Sound Track From TCB,The Supremes With The Temptations · 1968,discogs_v1,1.0.0
discogs:6551453,6551453,Dreamboat Annie,Heart · 1975,discogs_v1,1.0.0
discogs:16277042,16277042,A Very Cool Christmas 2,Various · 2020,discogs_v1,1.0.0
discogs:14397469,14397469,Ege Bamyasi,Can · 2019,discogs_v1,1.0.0
discogs:1302442,1302442,Motown Show Tunes,Various · 1977,discogs_v1,1.0.0
discogs:36157522,36157522,Bloodline,Mon Rovîa · 2026,discogs_v1,1.0.0
discogs:3009771,3009771,Pop Electronique,Cecil Leuter,discogs_v1,1.0.0
discogs:9776285,9776285,Live From Austin TX,Neko Case · 2017,discogs_v1,1.0.0
discogs:20967928,20967928,An Americana Christmas,Various · 2020,discogs_v1,1.0.0
discogs:23888087,23888087,Special,Lizzo · 2022,discogs_v1,1.0.0
discogs:155407,155407,Discern / Define,The Poets Of Rhythm · 2001,discogs_v1,1.0.0
discogs:28041069,28041069,You're The One,Rhiannon Giddens · 2023,discogs_v1,1.0.0
discogs:28175809,28175809,Hijos Del Sol,Hermanos Gutiérrez · 2023,discogs_v1,1.0.0
discogs:21299938,21299938,How The Mighty Fall,Charles Wesley Godwin · 2021,discogs_v1,1.0.0
discogs:7672730,7672730,A Christmas At Chateau Ste. Michelle,"The Northwest Boy Choir, The Northwest Youth Choir · 1986",discogs_v1,1.0.0
discogs:35082605,35082605,If I Were The Devil,Colby Acuff · 2025,discogs_v1,1.0.0
discogs:35679322,35679322,Space Of The Heart,Goldford · 2025,discogs_v1,1.0.0
discogs:33109209,33109209,Barnyard Beehive,Various · 2025,discogs_v1,1.0.0
discogs:25926949,25926949,Wayfaring Strangers: Cosmic American Music,Various · 2023,discogs_v1,1.0.0
discogs:31958855,31958855,Cosmic American Music: Motel California,Various · 2024,discogs_v1,1.0.0
discogs:23641328,23641328,Valley Of The Sun: Field Guide To Inner Harmony,Various · 2022,discogs_v1,1.0.0
discogs:30176033,30176033,Beehive Breaks,Various · 2024,discogs_v1,1.0.0
discogs:35792755,35792755,Xmas Done Got Funky,Jimmy Jules And The Nuclear Soul System With Jackie Spencer · 2025,discogs_v1,1.0.0
discogs:24284600,24284600,Eccentric Deep Soul,Various · 2022,discogs_v1,1.0.0
discogs:12811997,12811997,Merry Christmas To You From Joseph,"Joseph Washington, Jr. · 2018",discogs_v1,1.0.0
discogs:15098444,15098444,III,24 Carat Black · 2020,discogs_v1,1.0.0
discogs:34055980,34055980,Eccentric Modern Soul,Various · 2025,discogs_v1,1.0.0
discogs:30512269,30512269,My Black Country: The Songs of Alice Randall,Various · 2024,discogs_v1,1.0.0
discogs:2741654,2741654,Gil Fuller & The Monterey Jazz Festival Orchestra Featuring Dizzy Gillespie,Gil Fuller & The Monterey Jazz Festival Orchestra Featuring Dizzy Gillespie · 1965,discogs_v1,1.0.0
discogs:26411657,26411657,Renaissance,Beyoncé · 2022,discogs_v1,1.0.0
discogs:31070015,31070015,Cowboy Carter,Beyoncé · 2024,discogs_v1,1.0.0
discogs:6191421,6191421,The Number Of The Beast,Iron Maiden · 2014,discogs_v1,1.0.0
discogs:33646428,33646428,Moon Safari Live & Demos,AIR · 2025,discogs_v1,1.0.0
discogs:7119823,7119823,10 000 Hz Legend,AIR · 2015,discogs_v1,1.0.0
discogs:21626542,21626542,Hunky Dory,David Bowie · 2022,discogs_v1,1.0.0
discogs:8162132,8162132,The Man Who Sold The World,David Bowie · 2016,discogs_v1,1.0.0
discogs:8162188,8162188,The Rise And Fall Of Ziggy Stardust And The Spiders From Mars,David Bowie · 2016,discogs_v1,1.0.0
discogs:23545655,23545655,Teddy,Teddy Pendergrass · 1979,discogs_v1,1.0.0
discogs:20505802,20505802,TP,Teddy Pendergrass · 1980,discogs_v1,1.0.0
discogs:1651984,1651984,This One's For You,Teddy Pendergrass · 1982,discogs_v1,1.0.0
discogs:365838,365838,Love Is The Message,MFSB · 1973,discogs_v1,1.0.0
discogs:1081590,1081590,Black & Blue,Harold Melvin And The Blue Notes · 1973,discogs_v1,1.0.0
discogs:179413,179413,Wake Up Everybody,Harold Melvin And The Blue Notes · 1975,discogs_v1,1.0.0
discogs:1292202,1292202,Live,Lou Rawls · 1978,discogs_v1,1.0.0
discogs:176583,176583,Teddy Pendergrass,Teddy Pendergrass · 1977,discogs_v1,1.0.0
discogs:1816467,1816467,Talk It Up (Tell Everybody),Harold Melvin And The Blue Notes · 1984,discogs_v1,1.0.0
discogs:10762508,10762508,Almost In Love,Elvis Presley · 1975,discogs_v1,1.0.0
discogs:1402202,1402202,Double Dynamite!,Elvis Presley · 1975,discogs_v1,1.0.0
discogs:2141987,2141987,I Walk The Line,Johnny Cash,discogs_v1,1.0.0
discogs:1624479,1624479,Country Christmas,Various,discogs_v1,1.0.0
discogs:1943953,1943953,You've Made Me So Very Happy,Lou Rawls · 1979,discogs_v1,1.0.0
discogs:15397312,15397312,Frankie And Johnny,Elvis Presley · 1975,discogs_v1,1.0.0
discogs:9145455,9145455,C'mon Everybody,Elvis Presley · 1975,discogs_v1,1.0.0
discogs:8957729,8957729,The Wall,Pink Floyd · 2016,discogs_v1,1.0.0
discogs:33905034,33905034,Pink Flag,Wire,discogs_v1,1.0.0
discogs:1292894,1292894,Phase 6 Super Stereo - Introducing The Alternative Italian B-Movie Soundtrack,Various · 1998,discogs_v1,1.0.0
discogs:1261621,1261621,Kaleidoscopica,Various · 2000,discogs_v1,1.0.0
discogs:1450279,1450279,I Solisti Di Armando Trovajoli,I Marc 4 · 2000,discogs_v1,1.0.0
discogs:499479,499479,He's Coming,Roy Ayers Ubiquity · 1972,discogs_v1,1.0.0
discogs:1933431,1933431,This Is Spinal Tap,Spinal Tap · 1984,discogs_v1,1.0.0
discogs:35528917,35528917,Everybody Scream,Florence And The Machine · 2025,discogs_v1,1.0.0
discogs:5317319,5317319,Soul,Various,discogs_v1,1.0.0
discogs:8983967,8983967,Holiday Soul,Bobby Timmons · 2016,discogs_v1,1.0.0
discogs:2169485,2169485,Tough 'Duff,Brother Jack McDuff · 1971,discogs_v1,1.0.0
discogs:3086416,3086416,Spicy,"Richard ""Groove"" Holmes · 1967",discogs_v1,1.0.0
discogs:1479409,1479409,Intensity,Charles Earland · 1972,discogs_v1,1.0.0
discogs:4401952,4401952,Bongo Rock,The Incredible Bongo Band · 2009,discogs_v1,1.0.0
